postal,municipality,region
1901,147,1084
1902,147,1084
1903,147,1084
1904,147,1084
1905,147,1084
1906,147,1084
1908,147,1084
1909,147,1084
1910,147,1084
1911,147,1084
1912,147,1084
1913,147,1084
1914,147,1084
1915,147,1084
1916,147,1084
1917,147,1084
1920,147,1084
1921,147,1084
1922,147,1084
1923,147,1084
1924,147,1084
1925,147,1084
1926,147,1084
1927,147,1084
1928,147,1084
1950,147,1084
1951,147,1084
1952,147,1084
1953,147,1084
1954,147,1084
1955,147,1084
1956,147,1084
1957,147,1084
1958,147,1084
1959,147,1084
1960,147,1084
1961,147,1084
1962,147,1084
1963,147,1084
1964,147,1084
1965,147,1084
1966,147,1084
1967,147,1084
1970,147,1084
1971,147,1084
1972,147,1084
1973,147,1084
1974,147,1084
2000,101,1084
2000,147,1084
2100,101,1084,
2150,101,1084,
2200,101,1084,
2200,147,1084,
2300,101,1084,
2300,185,Tårnby	1084,
2400,101,1084,
2450,101,1084,
2500,101,1084,
2600,161,1084,
2600,165,1084,
2605,153,Brøndby	1084,
2610,101,1084,
2610,167,Hvidovre	1084,
2610,175,Rødovre	1084,
2620,165,Albertslund	1084,
2625,187,Vallensbæk	1084,
2630,169,Høje-Taastrup	1084,
2635,183,Ishøj	1084,
2640,169,Høje-Taastrup	1084,
2640,183,Ishøj	1084,
2640,253,Greve	1085,Sjælland
2640,265,Roskilde	1085,Sjælland
2650,153,Brøndby	1084,
2650,167,Hvidovre	1084,
2660,153,Brøndby	1084,
2660,167,Hvidovre	1084,
2665,187,Vallensbæk	1084,
2670,Greve	253,Greve	1085,Sjælland
2680,Solrød,Strand	269,Solrød	1085,Sjælland
2690,Karlslunde	253,Greve	1085,Sjælland
2690,Karlslunde	269,Solrød	1085,Sjælland
2700,Brønshøj	101,1084,
2720,Vanløse	101,1084,
2720,Vanløse	147,1084,
2730,Herlev	151,Ballerup	1084,
2730,Herlev	163,Herlev	1084,
2740,Skovlunde	151,Ballerup	1084,
2740,Skovlunde	163,Herlev	1084,
2750,Ballerup	151,Ballerup	1084,
2750,Ballerup	240,Egedal	1084,
2760,Måløv	151,Ballerup	1084,
2765,Smørum	240,Egedal	1084,
2770,Kastrup	101,1084,
2770,Kastrup	185,Tårnby	1084,
2791,Dragør	155,Dragør	1084,
2791,Dragør	185,Tårnby	1084,
2800,Kgs.,Lyngby	157,Gentofte	1084,
2800,Kgs.,Lyngby	159,Gladsaxe	1084,
2800,Kgs.,Lyngby	173,Lyngby-Taarbæk	1084,
2800,Kgs.,Lyngby	230,Rudersdal	1084,
2820,Gentofte	157,Gentofte	1084,
2820,Gentofte	159,Gladsaxe	1084,
2830,Virum	173,Lyngby-Taarbæk	1084,
2830,Virum	230,Rudersdal	1084,
2840,Holte	173,Lyngby-Taarbæk	1084,
2840,Holte	230,Rudersdal	1084,
2850,Nærum	230,Rudersdal	1084,
2860,Søborg	101,1084,
2860,Søborg	159,Gladsaxe	1084,
2870,Dyssegård	157,Gentofte	1084,
2880,Bagsværd	159,Gladsaxe	1084,
2880,Bagsværd	163,Herlev	1084,
2880,Bagsværd	190,Furesø	1084,
2900,Hellerup	101,1084,
2900,Hellerup	157,Gentofte	1084,
2920,Charlottenlund	157,Gentofte	1084,
2930,Klampenborg	157,Gentofte	1084,
2930,Klampenborg	173,Lyngby-Taarbæk	1084,
2942,Skodsborg	230,Rudersdal	1084,
2950,Vedbæk	223,Hørsholm	1084,
2950,Vedbæk	230,Rudersdal	1084,
2960,Rungsted,Kyst	223,Hørsholm	1084,
2970,Hørsholm	210,Fredensborg	1084,
2970,Hørsholm	223,Hørsholm	1084,
2970,Hørsholm	230,Rudersdal	1084,
2980,Kokkedal	210,Fredensborg	1084,
2980,Kokkedal	223,Hørsholm	1084,
2990,Nivå	210,Fredensborg	1084,
3000,Helsingør	217,Helsingør	1084,
3050,Humlebæk	210,Fredensborg	1084,
